Open,High,Low,Close,Volume,Pct_change,MA,EMA,OBV,MACD,Signal,PSAR,gold_close,EPU,GPRD
12.5161,12.9866,12.0592,12.4304,20764000.0,-0.016202885574483794,10.537953666666665,11.26556238094089,217228709.0,1.123764057573144,1.037371006362243,14.987518,1223.5,51.51,75.74468994140625
12.3894,12.3894,10.5027,11.2958,57496400.0,-0.0076321251796263034,10.705732333333334,11.340713195073738,196464709.0,1.026932392900557,1.035283283669906,14.858681279999999,1220.0999755859375,23.07,68.9161148071289
11.3332,12.3633,10.3734,11.8929,47274800.0,-0.09127622602651564,10.823593333333333,11.33781556958511,138968309.0,0.8488547935941071,0.9979975856547463,14.7349980288,1213.800048828125,19.22,81.85124206542969
12.1122,12.6908,11.7768,12.3504,28598400.0,0.05286035517626009,10.980939,11.373627468321555,186243109.0,0.7472936568885515,0.9478567999015073,14.481060147072,1213.800048828125,41.02,62.501277923583984
12.3253,12.8806,12.2658,12.7253,14733800.0,0.03846832984385662,11.144042666666667,11.436645051010487,214841509.0,0.6957025252031332,0.8974259449618326,14.15244733530624,1213.800048828125,54.25,44.966983795166016
12.7435,14.2673,12.6422,14.0773,42433400.0,0.03035529213628707,11.274420000000001,11.519784079977551,229575309.0,0.6772604416866006,0.8533928443067863,13.850123548481742,1213.800048828125,35.86,108.72760772705078
14.1098,14.3155,13.4389,14.0015,22471300.0,0.10624503940967989,11.448780000000001,11.684785107075774,272008709.0,0.7629452999948843,0.8353033354444059,10.3734,1214.800048828125,48.19,141.11044311523438
13.9917,14.0484,13.6292,13.738,10477200.0,-0.005384555276935155,11.576723333333332,11.834250584038628,249537409.0,0.815336054509979,0.8313098792575206,10.451278,1211.9000244140625,48.39,100.83919525146484
13.7429,13.8738,13.2543,13.8467,22981500.0,-0.018819412205835162,11.724281,11.957073127003879,239060209.0,0.8260714199618615,0.8302621873983889,10.60584688,1209.800048828125,44.41,94.64479064941406
13.8643,13.9454,13.4218,13.7404,15792400.0,0.00791235987771155,11.872045333333334,12.07898453816492,262041709.0,0.8337396245755979,0.8309576748338308,10.7542330048,1240.0999755859375,54.72,144.19883728027344
13.7625,14.0722,13.5678,13.975,11088400.0,-0.007676919410401051,12.002521999999999,12.186172632476861,246249309.0,0.8217663988504551,0.8291194196371557,10.896683684608,1240.0999755859375,130.56,56.81184768676758
14.0007,14.0585,13.7349,13.9341,8720400.0,0.017073738755785994,12.156800666666667,12.30158084973642,257337709.0,0.8217353371130862,0.827642603132342,11.03343633722368,1240.0999755859375,151.85,63.55046081542969
13.9453,14.512,13.8146,14.512,21421600.0,-0.002926654740608159,12.308920333333333,12.406904665882458,248617309.0,0.809083817665142,0.823930846038902,11.164718883734732,1244.5999755859375,136.57,101.40513610839844
14.5079,14.7796,14.2752,14.4177,16941800.0,0.041473794504130135,12.476556,12.54271726808359,270038909.0,0.8360516150473458,0.8263549998405908,11.290750128385342,1244.4000244140625,127.93,79.2243423461914
14.4306,14.5672,14.3402,14.3986,8256830.0,-0.0064980705622933455,12.647221666666667,12.663683895949166,253097109.0,0.8401300703747445,0.8291100139474216,11.484025120682222,1259.800048828125,46.41,76.72159576416016
14.3759,14.4318,13.8207,13.9086,11312900.0,-0.0013247605373950533,12.815124333333332,12.775613967178254,244840279.0,0.8322276627779797,0.8297335437135333,11.747671111027644,1270.199951171875,49.67,61.34384536743164
13.9091,14.1916,13.7203,14.1916,12176500.0,-0.03403108635561791,12.945535000000001,12.848709840263528,233527379.0,0.777463922777347,0.8192796195262961,11.990225422145432,1273.4000244140625,70.69,62.16614532470703
